iter	RMSE
0	14.53591595
1	14.12846012
2	13.76447938
3	13.42755278
4	13.08557405
5	12.69725874
6	12.38654516
7	12.08825685
8	11.76303348
9	11.44316602
10	11.16159371
11	10.88741961
12	10.66729238
13	10.4323113
14	10.19860303
15	9.939475138
16	9.69687327
17	9.481863554
18	9.298752551
19	9.080220084
20	8.896998529
21	8.706653178
22	8.539945894
23	8.375728637
24	8.223608289
25	8.086970251
26	7.9751498
27	7.872648585
28	7.746935585
29	7.628494653
30	7.522939484
31	7.435310599
32	7.332489191
33	7.223480293
34	7.156367323
35	7.085880163
36	7.002221927
37	6.916390169
38	6.860761565
39	6.79342024
40	6.738706675
41	6.677237694
42	6.607546085
43	6.55010957
44	6.506095762
45	6.453812704
46	6.40014478
47	6.357646385
48	6.307582583
49	6.257097833
50	6.215397557
51	6.186061927
52	6.152370321
53	6.112089683
54	6.074093801
55	6.048587742
56	6.024097037
57	5.994452847
58	5.967114735
59	5.94076833
60	5.917268047
61	5.888974873
62	5.861518037
63	5.842201829
64	5.816720081
65	5.796851247
66	5.779042254
67	5.7569296
68	5.737647291
69	5.716741642
70	5.702504601
71	5.686742534
72	5.667491247
73	5.653072642
74	5.641126342
75	5.627115932
76	5.617024539
77	5.602516303
78	5.592766405
79	5.582919683
80	5.56771865
81	5.558426752
82	5.549322079
83	5.541037572
84	5.532935167
85	5.518988635
86	5.513024258
87	5.503837204
88	5.492194198
89	5.481301151
90	5.470403335
91	5.460135615
92	5.448858222
93	5.443040066
94	5.431469643
95	5.425993494
96	5.419403162
97	5.411169795
98	5.404516802
99	5.397502948
100	5.393546844
101	5.385843698
102	5.381310961
103	5.374303378
104	5.36880302
105	5.363890592
106	5.358694032
107	5.35141462
108	5.343142154
109	5.336373841
110	5.328253228
111	5.324011208
112	5.313399748
113	5.306913764
114	5.301372494
115	5.293943101
116	5.288078903
117	5.278986425
118	5.274246862
119	5.271449824
120	5.264952916
121	5.261484427
122	5.257781911
123	5.254015527
124	5.248916794
125	5.24565453
126	5.243740464
127	5.23632781
128	5.232742316
129	5.230702504
130	5.226721561
131	5.223234262
132	5.218208459
133	5.21248299
134	5.208220187
135	5.205526435
136	5.203881849
137	5.199307842
138	5.197562359
139	5.193415755
140	5.190850453
141	5.187553605
142	5.183604664
143	5.178441623
144	5.174384509
145	5.17077343
146	5.166324676
147	5.164046898
148	5.159522671
149	5.155756322
150	5.153331999
151	5.14925558
152	5.146562273
153	5.140870203
154	5.136650057
155	5.134125353
156	5.131797229
157	5.129603765
158	5.127792927
159	5.125617533
160	5.121831983
161	5.120013703
162	5.116572177
163	5.113112834
164	5.110810053
165	5.108690397
166	5.10607551
167	5.105452947
168	5.105183808
169	5.103590827
170	5.102779434
171	5.101189043
172	5.099348829
173	5.097508564
174	5.093502525
175	5.087839054
176	5.085905437
177	5.08298772
178	5.081759248
179	5.080537942
180	5.080332349
181	5.078158672
182	5.075261916
183	5.073082985
184	5.072689848
185	5.072002921
186	5.071790202
187	5.071296264
188	5.067414827
189	5.067159964
190	5.064551179
191	5.064083568
192	5.063887654
193	5.063441029
194	5.063264001
195	5.060586285
196	5.057757475
197	5.056330497
198	5.054394247
199	5.05182777
