iter	Passed	Remaining
0	0	90
1	0	75
2	1	69
3	1	68
4	1	66
5	1	64
6	2	62
7	2	61
8	2	60
9	3	59
10	3	58
11	3	58
12	3	57
13	4	56
14	4	56
15	4	55
16	5	55
17	5	55
18	5	54
19	6	54
20	6	54
21	6	53
22	6	53
23	7	53
24	7	53
25	7	52
26	8	52
27	8	52
28	8	51
29	9	51
30	9	51
31	9	50
32	10	50
33	10	50
34	10	50
35	10	49
36	11	49
37	11	49
38	11	48
39	12	48
40	12	48
41	12	48
42	13	47
43	13	47
44	13	47
45	13	46
46	14	46
47	14	46
48	15	46
49	15	46
50	15	46
51	16	46
52	16	46
53	16	45
54	17	45
55	17	45
56	17	44
57	18	44
58	18	44
59	18	43
60	19	43
61	19	43
62	19	43
63	20	43
64	20	42
65	20	42
66	21	42
67	21	41
68	21	41
69	22	41
70	22	40
71	22	40
72	23	40
73	23	39
74	23	39
75	23	39
76	24	38
77	24	38
78	24	38
79	25	37
80	25	37
81	25	37
82	26	36
83	26	36
84	26	36
85	26	35
86	27	35
87	27	35
88	28	35
89	28	35
90	29	35
91	30	35
92	30	35
93	30	34
94	31	34
95	31	34
96	31	33
97	32	33
98	32	33
99	32	32
100	33	32
101	33	32
102	33	31
103	34	31
104	34	31
105	34	30
106	35	30
107	35	30
108	35	29
109	36	29
110	36	29
111	36	28
112	37	28
113	37	28
114	37	27
115	37	27
116	38	27
117	38	26
118	38	26
119	39	26
120	39	25
121	39	25
122	40	25
123	40	24
124	40	24
125	40	24
126	41	23
127	41	23
128	41	23
129	42	22
130	42	22
131	42	22
132	43	21
133	43	21
134	43	21
135	44	20
136	44	20
137	44	20
138	44	19
139	45	19
140	45	19
141	45	18
142	46	18
143	46	18
144	46	17
145	47	17
146	47	17
147	48	16
148	48	16
149	48	16
150	49	15
151	49	15
152	49	15
153	50	14
154	50	14
155	50	14
156	51	14
157	51	13
158	51	13
159	52	13
160	52	12
161	52	12
162	53	12
163	53	11
164	53	11
165	53	11
166	54	10
167	54	10
168	54	10
169	55	9
170	55	9
171	55	9
172	55	8
173	56	8
174	56	8
175	57	7
176	57	7
177	57	7
178	57	6
179	58	6
180	58	6
181	58	5
182	59	5
183	59	5
184	59	4
185	60	4
186	60	4
187	60	3
188	61	3
189	61	3
190	62	2
191	62	2
192	62	2
193	63	1
194	63	1
195	63	1
196	64	0
197	64	0
198	64	0
199	65	0
