iter	Passed	Remaining
0	0	713
1	1	723
2	1	657
3	2	614
4	3	696
5	4	674
6	4	654
7	5	639
8	5	629
9	6	608
10	6	600
11	7	596
12	7	590
13	8	586
14	8	581
15	9	577
16	9	578
17	10	574
18	11	572
19	11	572
20	12	570
21	12	570
22	13	569
23	13	566
24	14	562
25	14	559
26	15	558
27	16	573
28	17	570
29	17	581
30	18	583
31	19	583
32	19	583
33	20	583
34	21	582
35	21	579
36	22	578
37	22	576
38	23	573
39	23	571
40	24	568
41	24	564
42	25	561
43	25	559
44	26	556
45	26	553
46	27	554
47	27	552
48	28	551
49	28	550
50	29	548
51	29	546
52	30	544
53	30	543
54	31	541
55	32	539
56	32	541
57	33	541
58	33	540
59	34	540
60	35	540
61	35	542
62	36	542
63	37	544
64	37	544
65	38	543
66	38	542
67	39	541
68	40	540
69	40	539
70	41	537
71	41	535
72	42	533
73	42	531
74	42	529
75	43	528
76	43	526
77	44	524
78	44	522
79	45	520
80	45	518
81	46	517
82	46	515
83	47	513
84	49	530
85	49	529
86	50	528
87	50	526
88	51	525
89	51	524
90	52	522
91	52	521
92	53	520
93	53	518
94	54	516
95	54	515
96	55	514
97	55	512
98	56	510
99	56	509
100	57	507
101	57	506
102	57	504
103	58	503
104	58	502
105	59	500
106	59	499
107	60	498
108	60	496
109	61	496
110	61	495
111	62	496
112	63	497
113	63	496
114	64	495
115	64	494
116	65	493
117	65	491
118	66	490
119	66	489
120	66	486
121	67	485
122	67	483
123	68	482
124	68	481
125	69	480
126	69	479
127	70	478
128	70	476
129	71	475
130	71	474
131	72	473
132	72	472
133	72	471
134	73	470
135	73	468
136	74	468
137	74	467
138	75	466
139	75	465
140	76	464
141	76	464
142	77	467
143	78	466
144	79	466
145	79	465
146	79	463
147	80	463
148	80	462
149	81	461
150	81	460
151	82	459
152	82	458
153	83	457
154	83	456
155	84	455
156	84	454
157	85	453
158	85	452
159	86	451
160	86	450
161	86	449
162	87	448
163	87	448
164	88	447
165	88	446
166	89	445
167	89	444
168	90	444
169	90	443
170	91	442
171	91	442
172	92	442
173	93	442
174	93	441
175	94	440
176	94	440
177	95	439
178	95	438
179	96	437
180	96	436
181	97	436
182	97	435
183	97	434
184	98	433
185	98	432
186	99	431
187	99	430
188	100	430
189	100	429
190	101	428
191	101	427
192	102	426
193	102	425
194	102	425
195	103	424
196	103	423
197	104	422
198	104	422
199	105	421
200	105	420
201	106	420
202	106	419
203	107	419
204	108	419
205	108	418
206	109	417
207	109	417
208	110	416
209	110	415
210	110	414
211	111	414
212	111	413
213	112	412
214	112	411
215	113	411
216	113	410
217	114	409
218	114	408
219	115	408
220	115	407
221	116	406
222	116	405
223	116	404
224	117	404
225	117	403
226	118	402
227	118	401
228	119	401
229	119	401
230	120	400
231	120	399
232	121	398
233	121	398
234	122	398
235	122	398
236	123	397
237	123	396
238	124	396
239	124	395
240	125	394
241	125	394
242	126	393
243	126	392
244	127	392
245	127	391
246	128	390
247	128	389
248	129	389
249	129	388
250	129	387
251	130	387
252	130	386
253	131	385
254	131	384
255	132	384
256	132	383
257	133	383
258	133	382
259	134	382
260	134	381
261	135	380
262	135	380
263	136	379
264	136	378
265	137	378
266	137	378
267	138	378
268	138	377
269	139	377
270	139	376
271	140	376
272	141	375
273	141	374
274	141	374
275	142	373
276	142	373
277	143	372
278	143	371
279	144	370
280	144	370
281	145	369
282	145	368
283	146	368
284	146	367
285	146	366
286	147	366
287	147	365
288	148	364
289	148	364
290	149	363
291	149	362
292	150	362
293	150	361
294	151	360
295	151	360
296	152	360
297	152	360
298	153	359
299	153	358
300	154	358
301	154	357
302	155	357
303	155	356
304	156	356
305	156	355
306	157	354
307	157	354
308	158	353
309	158	353
310	159	352
311	159	351
312	159	351
313	160	350
314	160	349
315	161	349
316	161	348
317	162	347
318	162	347
319	163	346
320	163	345
321	164	345
322	164	344
323	164	344
324	165	343
325	165	342
326	166	342
327	166	341
328	167	341
329	168	341
330	168	340
331	169	340
332	169	339
333	170	339
334	170	338
335	170	337
336	171	337
337	171	336
338	172	336
339	172	335
340	173	334
341	173	334
342	174	333
343	174	333
344	175	332
345	175	331
346	176	331
347	176	330
348	176	330
349	177	329
350	177	328
351	178	328
352	178	327
353	179	327
354	179	326
355	180	325
356	180	325
357	181	324
358	181	324
359	182	324
360	182	323
361	183	323
362	183	322
363	184	322
364	184	321
365	185	321
366	185	320
367	186	320
368	186	319
369	187	318
370	187	318
371	188	317
372	188	317
373	189	316
374	189	315
375	190	315
376	190	314
377	190	314
378	191	313
379	191	313
380	192	312
381	192	311
382	193	311
383	193	310
384	194	310
385	194	309
386	195	308
387	195	308
388	195	307
389	196	307
390	197	307
391	197	306
392	198	306
393	198	305
394	199	304
395	199	304
396	200	303
397	200	303
398	200	302
399	201	302
400	201	301
401	202	301
402	202	300
403	203	299
404	203	299
405	204	298
406	204	298
407	204	297
408	205	296
409	205	296
410	206	295
411	206	295
412	207	294
413	207	293
414	208	293
415	208	292
416	209	292
417	209	291
418	210	291
419	210	290
420	211	290
421	211	290
422	212	289
423	212	289
424	213	288
425	213	288
426	214	287
427	214	286
428	215	286
429	215	285
430	216	285
431	216	284
432	217	284
433	217	283
434	217	283
435	218	282
436	218	281
437	219	281
438	219	280
439	220	280
440	220	279
441	221	279
442	221	278
443	222	278
444	222	277
445	222	276
446	223	276
447	223	275
448	224	275
449	224	274
450	225	274
451	225	273
452	226	273
453	226	272
454	227	272
455	228	272
456	228	271
457	229	271
458	229	270
459	230	270
460	230	269
461	231	269
462	231	268
463	232	268
464	232	267
465	232	266
466	233	266
467	233	265
468	234	265
469	234	264
470	235	264
471	235	263
472	236	263
473	236	262
474	237	262
475	237	261
476	237	260
477	238	260
478	238	259
479	239	259
480	239	258
481	240	258
482	240	257
483	241	257
484	241	256
485	242	256
486	242	255
487	243	255
488	244	255
489	244	254
490	244	253
491	245	253
492	245	252
493	246	252
494	246	251
495	247	251
496	247	250
497	248	250
498	248	249
499	249	249
500	249	248
501	250	248
502	250	247
503	250	246
504	251	246
505	251	245
506	252	245
507	252	244
508	253	244
509	253	243
510	254	243
511	254	242
512	255	242
513	255	241
514	256	241
515	256	240
516	257	240
517	257	239
518	258	239
519	258	238
520	259	238
521	259	237
522	260	237
523	260	236
524	261	236
525	261	235
526	262	235
527	262	234
528	263	234
529	263	233
530	263	233
531	264	232
532	264	232
533	265	231
534	265	230
535	266	230
536	266	229
537	267	229
538	267	228
539	268	228
540	268	227
541	269	227
542	269	226
543	269	226
544	270	225
545	270	225
546	271	224
547	271	224
548	272	223
549	273	223
550	273	222
551	274	222
552	274	221
553	274	221
554	275	220
555	275	220
556	276	219
557	276	219
558	277	218
559	277	218
560	278	217
561	278	217
562	279	216
563	279	216
564	280	215
565	280	215
566	280	214
567	281	214
568	281	213
569	282	212
570	282	212
571	283	211
572	283	211
573	284	210
574	284	210
575	285	209
576	285	209
577	285	208
578	286	208
579	287	208
580	287	207
581	288	207
582	288	206
583	289	206
584	289	205
585	290	205
586	290	204
587	291	204
588	291	203
589	292	203
590	292	202
591	293	201
592	293	201
593	293	200
594	294	200
595	294	199
596	295	199
597	295	198
598	296	198
599	296	197
600	297	197
601	297	196
602	298	196
603	298	195
604	298	195
605	299	194
606	299	194
607	300	193
608	300	193
609	301	192
610	302	192
611	302	191
612	303	191
613	303	190
614	303	190
615	304	189
